unnamed:_0.1,unnamed:_0,restaurant_name,restaurant_type,rate_out_of_5,num_of_ratings,avg_cost_two_people,online_order,table_booking,cuisines_type,area,local_address
1674,1674,Daily Sushi,Casual Dining,3.8,56,9000,Yes,No,Korean,Brookefield,Whitefield
1675,1675,Daivik,Casual Dining,3.3,6,6500,No,No,North Indian,Lavelle Road,Race Course Road
1676,1676,Dakshin,Casual Dining,3.5,47,4500,Yes,No,South Indian,Lavelle Road,Wilson Garden
1677,1677,Dakshin - Itc Windsor,Fine Dining,4.3,202,40000,No,Yes,South Indian,Malleshwaram,Sankey Road
1678,1678,Dakshin Biryani & Tiffin,Casual Dining,3.4,334,5500,Yes,No,Andhra,Brigade Road,Indiranagar
1679,1679,Dakshin Cafe,Quick Bites,3.7,19,1000,Yes,No,South Indian,Banashankari,Kumaraswamy Layout
1680,1680,Dakshin Flavors,Casual Dining,3.0,206,6000,Yes,No,South Indian,Hsr,HSR
1681,1681,Dakshin Food Palace,Casual Dining,3.7,42,4500,Yes,No,South Indian,Bannerghatta Road,JP Nagar
1682,1682,Dakshin Grand,Quick Bites,3.0,82,3000,Yes,No,South Indian,Banashankari,Banashankari
1683,1683,Dakshin Kitchen,Quick Bites,3.6,15,1000,Yes,No,South Indian,Banashankari,Basavanagudi
1684,1684,Dakshin Restaurant,Casual Dining,3.6,16,8000,Yes,No,Mangalorean,Brigade Road,Brigade Road
1685,1685,Dakshin Sagar,Quick Bites,3.1,325,4000,Yes,No,South Indian,Hsr,HSR
1686,1686,Dakshin Spice,Casual Dining,3.8,384,8000,Yes,Yes,South Indian,Brookefield,Marathahalli
1687,1687,Dal Chawal Roti,Quick Bites,3.3,10,4000,No,No,North Indian,Old Airport Road,Indiranagar
1688,1688,Dal Roti,Quick Bites,3.7,117,1500,Yes,No,North Indian,Bannerghatta Road,JP Nagar
1689,1689,Dal Roti Sabji,Quick Bites,4.1,81,1500,Yes,No,North Indian,Indiranagar,Indiranagar
1690,1690,Dal Tadkaa,Casual Dining,2.5,247,5000,Yes,No,North Indian,Banashankari,Banashankari
1691,1691,Dalchini,Casual Dining,4.0,225,7000,No,No,North Indian,Bellandur,Bellandur
